PeakID,Hgt(m),PeakName(s),Location(Himals)
ACHN,6055,"Aichyn(Aychin,Ashvin)",Nalakankar/Chandi/Changla
AMAD,6814,AmaDablam(AmaiDablang),Khumbu
AMOT,6393,Amotsang(Amatson),Damodar
AMPG,5630,AmphuGyabjen,Khumbu
AMPH,6740,AmphuI,Khumbu
AMPM,6202,AmphuMiddle(AmphuNorth),Khumbu
ANID,6808,AnideshChuli(WhiteWavePeak),Kangchenjunga/Simhalila
ANN1,8091,AnnapurnaI,Annapurna
ANN2,7937,AnnapurnaII,Annapurna
ANN3,7555,AnnapurnaIII,Annapurna
ANN4,7525,AnnapurnaIV,Annapurna
ANNE,8026,AnnapurnaIEast,Annapurna
ANNM,8051,AnnapurnaIMiddle,Annapurna
ANNS,7219,AnnapurnaSouth(AnnapurnaDakshin),Annapurna
APIM,7132,ApiMain,Api/ByasRisi/Guras
APIW,7076,ApiWest,Api/ByasRisi/Guras
ARDN,6034,Ardang,Nalakankar/Chandi/Changla
ARNK,6034,ArnikoChuli(AranikoChuli),Mukut/Mustang
ASAJ,6265,AsajyaTuppa,Nalakankar/Chandi/Changla
BAMO,6400,Bamongo,Rolwaling
BARU,7152,Baruntse,Khumbu
BAUD,6672,Baudha,Manaslu/Mansiri
BEDG,6125,BedingGo(BeddingGo),Rolwaling
BHEM,6150,BhemdangRi(Morimoto),Jugal
BHRI,6476,Bhrikuti(DamodarHimal),Damodar
BHRS,6361,BhrikutiShail,Damodar
BHUL,6102,BhuluLhasa,Kanjiroba
BIJO,6111,BijoraHiunchuli,Kanjiroba
BOBA,6808,Bobaye,Api/ByasRisi/Guras
BOKT,6114,Boktoh(Bokta),Kangchenjunga/Simhalila
BTAK,6799,BhairabTakura(Madiya),Jugal
BURK,6942,BurkeKang(BurkeKhang),Khumbu
CBAM,6109,ChhopaBamare(ChomoPamari),Rolwaling
CHAB,6792,Chabuk(Tsajirip),Janak/OhmiKangri
CHAG,6893,Chago,Makalu
CHAK,6704,Chako,Damodar
CHAM,7321,Chamlang,Khumbu
CHAN,6563,Changla(ChanglaHimal),Nalakankar/Chandi/Changla
CHAW,6404,ChawPeak(ChawEast),Janak/OhmiKangri
CHEK,6121,Chekigo,Rolwaling
CHEO,6820,CheoHimal,Peri
CHIV,6650,ChhivHimal(ChhibHimal),Damodar
CHKA,6060,"ChamarKang(Chharka,Kangtega)",Mukut/Mustang
CHMN,7165,ChamarNorth(Peak23),Ganesh/Shringi
CHMR,7161,Chamar(ShringiHimal),Ganesh/Shringi
CHND,6142,ChandiHimal,Nalakankar/Chandi/Changla
CHNG,6623,Changdi,Kanti/Palchung
CHOB,6686,"Chobuje(Chobutse,Tsoboje)",Rolwaling
CHOL,6423,"Cholatse(Tsolatse,JoboLhaptshan)",Khumbu
CHOP,6700,ChoPolu,Khumbu
CHOY,8188,ChoOyu,Khumbu
CHRE,7371,ChurenHimalEast,Dhaulagiri
CHRI,5550,ChhukungChuli(ChhukungRi),Khumbu
CHRW,7371,ChurenHimalWest,Dhaulagiri
CHUB,5602,Chhuboche,Damodar
CHUG,6258,ChukyimaGo(Chugimago),Rolwaling
CHUK,5833,ChhukungTse,Khumbu
CHUL,6584,ChuluCentral(ChuluEast),Damodar
CHUM,6859,Chumbu,Khumbu
CHUR,7385,ChurenHimalCentral,Dhaulagiri
CHUW,6419,ChuluWest,Damodar
CHWT,6130,Changwathang,Nalakankar/Chandi/Changla
CPHU,6260,ChhochenphuHimal,Janak/OhmiKangri
CTSE,7583,Changtse(EverestNorthPeak),Khumbu
DANG,6355,Danga,Janak/OhmiKangri
DANS,6103,DanpheShail(DanfeShail),Kanti/Palchung
DGAR,6638,Dhaulagari(Dhaulasiri),Api/ByasRisi/Guras
DHA1,8167,DhaulagiriI,Dhaulagiri
DHA2,7751,DhaulagiriII,Dhaulagiri
DHA3,7715,"DhaulagiriIII(Nalu,Naula)",Dhaulagiri
DHA4,7661,DhaulagiriIV,Dhaulagiri
DHA5,7618,DhaulagiriV,Dhaulagiri
DHA6,7268,DhaulagiriVI,Dhaulagiri
